date,flavor_1,flavor_2,flavor_3,flavor_4,instagram_likes,day_of_week,is_weekend,month,month_name,week_of_year,year,day_number,n_chocolate,n_fruit,n_coffee_matcha,n_specialty,n_vanilla,n_nut,n_caramel_dulce,n_sorbet,n_tart,n_categories,n_sugar_free,n_low_fat
2025-01-02,Mango,Pecans & Pralines (SF),Raspberry Chocolate Truffle,Apple Pie,13.0,Thursday,False,1,January,1,2025,1,0,1,0,2,0,1,0,0,0,3,1,0
2025-01-03,Mango,Pecans & Pralines (SF),Rocky Road,White Cake Batter,9.0,Friday,False,1,January,1,2025,2,0,1,0,1,1,1,0,0,0,4,1,0
2025-01-04,Mango,Pecans & Pralines (SF),Rocky Road,White Cake Batter,8.0,Saturday,True,1,January,1,2025,3,0,1,0,1,1,1,0,0,0,4,1,0
2025-01-05,Mango,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,9.0,Sunday,True,1,January,1,2025,4,0,1,0,1,1,0,1,0,0,4,1,0
2025-01-06,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,8.0,Monday,False,1,January,2,2025,5,0,1,0,1,1,0,1,0,0,4,1,0
2025-01-07,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,6.0,Tuesday,False,1,January,2,2025,6,0,1,0,1,1,0,1,0,0,4,1,0
2025-01-08,Red Raspberry,Caramel Macadamia Cappuccino (SF),Rocky Road,White Cake Batter,12.0,Wednesday,False,1,January,2,2025,7,0,1,0,1,1,0,1,0,0,4,1,0
2025-01-09,Red Raspberry,Pistachio Cream (SF),Hazelnut Amaretto,Irish Mint,7.0,Thursday,False,1,January,2,2025,8,0,1,0,1,0,2,0,0,0,3,1,0
2025-01-14,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),8.0,Tuesday,False,1,January,3,2025,9,0,1,1,0,0,1,1,0,0,4,1,1
2025-01-15,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),7.0,Wednesday,False,1,January,3,2025,10,0,1,1,0,0,1,1,0,0,4,1,1
2025-01-16,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),3.0,Thursday,False,1,January,3,2025,11,0,1,1,0,0,1,1,0,0,4,1,1
2025-01-17,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),7.0,Friday,False,1,January,3,2025,12,0,1,1,0,0,1,1,0,0,4,1,1
2025-01-18,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Salted Caramel Pretzel (Low Fat),10.0,Saturday,True,1,January,3,2025,13,0,2,0,0,1,0,1,0,0,3,1,1
2025-01-19,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,19.0,Sunday,True,1,January,3,2025,14,0,2,0,1,1,0,0,0,0,3,1,0
2025-01-20,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,13.0,Monday,False,1,January,4,2025,15,0,2,0,1,1,0,0,0,0,3,1,0
2025-01-21,Fresh Blackberry,Caramel Custard (SF),Hawaiian Coconut,Creme Brulee,9.0,Tuesday,False,1,January,4,2025,16,0,2,0,1,0,0,1,0,0,3,1,0
2025-01-22,Fresh Blackberry,Caramel Custard (SF),Mounds Bar,Creme Brulee,8.0,Wednesday,False,1,January,4,2025,17,1,1,0,1,0,0,1,0,0,4,1,0
2025-01-23,Butter Pecan,Caramel Custard (SF),Mounds Bar,Pomegranate Raspberry (Tart),13.0,Thursday,False,1,January,4,2025,18,1,0,0,0,0,1,1,0,1,4,1,0
