Date,F1,F2,F3,F4,F5,F6,Like,
11/4,Cookies & Cream,Hazelnut Amaretto (SF),Dulce de Leche (Low Fat),Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,6,
11/3,Cookies & Cream,Pistachio Cream (SF),Peanut Butter Chocolate,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,10,
11/2,Cookies & Cream,Pistachio Cream (SF),Peanut Butter Chocolate,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,13,
11/1,Cookies & Cream,Pistachio Cream (SF),Peanut Butter Chocolate,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,12,
10/31,Caramel Macadamia Cappuccino,Pistachio Cream (SF),Peanut Butter Chocolate,Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,32,
10/30,Caramel Macadamia Cappuccino,Yellow Cake Batter(SF),Peanut Butter Chocolate,Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,9,
10/29,Caramel Macadamia Cappuccino,Yellow Cake Batter(SF),Peanut Butter Chocolate,Passion Orange Guava (Sorbet),Ghirardelli Chocolate,Vanilla Classic,12,
10/28,Strawberry Shortcake,Yellow Cake Batter(SF),Mounds Bar,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,9,
10/27,Strawberry Shortcake,Yellow Cake Batter(SF),Mounds Bar,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11,
10/26,Strawberry Shortcake,Yellow Cake Batter(SF),Mounds Bar,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11,
10/25,Maine Blueberry,Yellow Cake Batter(SF),Raspberry Chocolate Truffle,Hawaiian Coconut,Ghirardelli Chocolate,Vanilla Classic,12,
10/24,Maine Blueberry,NY Cheesecake (SF),Raspberry Chocolate Truffle,Hawaiian Coconut,Ghirardelli Chocolate,Vanilla Classic,9,
10/23,Maine Blueberry,NY Cheesecake (SF),Raspberry Chocolate Truffle,Hawaiian Coconut,Ghirardelli Chocolate,Vanilla Classic,11,
10/22,White Cake Batter,Butterscotch Parfait (SF),Raspberry Chocolate Truffle,Mango,Ghirardelli Chocolate,Vanilla Classic,10,
10/21,White Cake Batter,Butterscotch Parfait (SF),Creme Brulee,Mango,Ghirardelli Chocolate,Vanilla Classic,14,
10/20,None,None,None,None,None,None,None,
10/19,White Cake Batter,Vanilla Cappuccino (SF),Creme Brulee,Mango,Ghirardelli Chocolate,Vanilla Classic,5,
10/18,Salted Caramel Macadamia,Vanilla Cappuccino (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,7,
10/17,Salted Caramel Macadamia,Vanilla Cappuccino (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,6,
10/16,Salted Caramel Macadamia,Vanilla Cappuccino (SF),Creme Brulee,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,10,
10/15,Salted Caramel Macadamia,Vanilla Cappuccino (SF),Pumpkin Pie,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,11,
10/14,Thin Mint Cookie,Butter Pecan (SF),Pumpkin Pie,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,12,
10/13,Thin Mint Cookie,Butter Pecan (SF),Pumpkin Pie,Red Raspberry,Ghirardelli Chocolate,Vanilla Classic,6,
10/12,Thin Mint Cookie,Butter Pecan (SF),Pumpkin Pie,Fresh Strawberry,Ghirardelli Chocolate,Vanilla Classic,12,
10/11,Thin Mint Cookie,Butter Pecan (SF),Pumpkin Pie,Fresh Strawberry,Ghirardelli Chocolate,Vanilla Classic,10,
10/10,Irish Mint,Caramel Custard (SF),Chocolate Covered Banana,Fresh Strawberry,Ghirardelli Chocolate,Vanilla Classic,13,
10/9,Irish Mint,Caramel Custard (SF),Chocolate Covered Banana,Fresh Strawberry,Ghirardelli Chocolate,Vanilla Classic,16,
10/8,Irish Mint,Caramel Custard (SF),Chocolate Covered Banana,Fresh Strawberry,Ghirardelli Chocolate,Vanilla Classic,11,
10/7,Irish Mint,Caramel Custard (SF),Chocolate Covered Banana,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,12,
10/6,Cookies & Cream,Caramel Custard (SF),Chocolate Covered Banana,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,14,
10/5,Cookies & Cream,Yellow Cake Batter (SF),Costa Rican Cappuccino,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,14,
10/4,Cookies & Cream,Yellow Cake Batter (SF),Costa Rican Cappuccino,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,18,
10/3,Cookies & Cream,Yellow Cake Batter (SF),Costa Rican Cappuccino,Fresh Blackberry,Ghirardelli Chocolate,Vanilla Classic,23,
10/2,Cookies & Cream,Yellow Cake Batter (SF),Dulce de Leche (Low Fat),Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,16,
10/1,Black Forest Chocolate,English Toffee (SF),Dulce de Leche (Low Fat),Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,11,
9/30,Black Forest Chocolate,English Toffee (SF),Dulce de Leche (Low Fat),Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,18,
9/29,NY Cheesecake,English Toffee (SF),Black Forest Chocolate,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,6,
9/28,NY Cheesecake,English Toffee (SF),Black Forest Chocolate,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,14,
9/27,NY Cheesecake,Maple Walnut (SF),Peanut Butter Chocolate,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,13,
9/26,NY Cheesecake,Maple Walnut (SF),Peanut Butter Chocolate,Watermelon (Sorbet),Ghirardelli Chocolate,Vanilla Classic,14,
9/25,Strawberry Shortcake,Maple Walnut (SF),Peanut Butter Chocolate,Caramel Macadamia Cappuccino,Ghirardelli Chocolate,Vanilla Classic,13,
